,1,0.5,0.2
139,4-5,4.0-4.4,4.0-4.1
140,4-5,4.0-4.4,4.2-4.3
141,4-5,4.5-4.9,4.6-4.7
142,4-5,4.0-4.4,4.0-4.1
143,2-3,2.0-2.4,2.2-2.3
144,4-5,4.0-4.4,4.0-4.1
145,4-5,4.5-4.9,4.6-4.7
146,4-5,4.0-4.4,4.2-4.3
147,4-5,4.0-4.4,4.2-4.3
148,3-4,3.5-3.9,3.6-3.7
149,4-5,4.5-5.0,4.8-5.0
150,4-5,4.0-4.4,4.2-4.3
151,4-5,4.5-4.9,4.6-4.7
152,4-5,4.5-5.0,4.8-5.0
153,3-4,3.5-3.9,3.8-3.9
154,4-5,4.0-4.4,4.0-4.1
155,4-5,4.5-4.9,4.4-4.5
156,4-5,4.0-4.4,4.4-4.5
157,3-4,3.5-3.9,3.6-3.7
158,4-5,4.5-4.9,4.4-4.5
159,4-5,4.5-4.9,4.6-4.7
160,4-5,4.5-4.9,4.4-4.5
161,4-5,4.5-4.9,4.4-4.5
162,4-5,4.5-4.9,4.4-4.5
163,4-5,4.5-4.9,4.4-4.5
164,4-5,4.5-4.9,4.6-4.7
165,4-5,4.5-4.9,4.6-4.7
166,2-3,2.5-2.9,2.6-2.7
167,3-4,3.5-3.9,3.6-3.7
168,4-5,4.5-5.0,4.8-5.0
169,4-5,4.0-4.4,4.4-4.5
170,4-5,4.0-4.4,4.2-4.3
171,4-5,4.0-4.4,4.4-4.5
172,4-5,4.0-4.4,4.0-4.1
173,4-5,4.5-4.9,4.4-4.5
174,4-5,4.0-4.4,4.4-4.5
175,4-5,4.0-4.4,4.2-4.3
176,4-5,4.0-4.4,4.2-4.3
177,4-5,4.5-4.9,4.4-4.5
178,4-5,4.0-4.4,4.4-4.5
179,4-5,4.0-4.4,4.2-4.3
180,4-5,4.0-4.4,4.2-4.3
181,4-5,4.0-4.4,4.2-4.3
182,4-5,4.0-4.4,4.0-4.1
183,4-5,4.0-4.4,4.2-4.3
184,4-5,4.0-4.4,4.2-4.3
185,3-4,3.5-3.9,3.6-3.7
186,4-5,4.0-4.4,4.0-4.1
187,3-4,3.5-3.9,3.6-3.7
188,3-4,3.5-3.9,3.6-3.7
189,4-5,4.0-4.4,4.4-4.5
190,4-5,4.5-4.9,4.4-4.5
191,4-5,4.0-4.4,4.2-4.3
192,3-4,3.0-3.4,3.2-3.3
193,4-5,4.0-4.4,4.4-4.5
194,4-5,4.5-4.9,4.6-4.7
195,4-5,4.5-4.9,4.4-4.5
196,4-5,4.5-4.9,4.4-4.5
197,4-5,4.0-4.4,4.4-4.5
198,3-4,3.0-3.4,3.2-3.3
199,4-5,4.5-4.9,4.6-4.7
200,4-5,4.5-4.9,4.6-4.7
201,4-5,4.5-4.9,4.4-4.5
202,4-5,4.0-4.4,4.0-4.1
203,4-5,4.5-4.9,4.4-4.5
204,4-5,4.0-4.4,4.2-4.3
205,4-5,4.5-4.9,4.4-4.5
206,4-5,4.0-4.4,4.0-4.1
207,4-5,4.5-4.9,4.4-4.5
208,4-5,4.0-4.4,4.2-4.3
209,2-3,2.5-2.9,2.6-2.7
210,4-5,4.0-4.4,4.2-4.3
211,4-5,4.0-4.4,4.0-4.1
212,3-4,3.5-3.9,3.6-3.7
213,4-5,4.0-4.4,4.4-4.5
214,4-5,4.0-4.4,4.4-4.5
215,4-5,4.5-4.9,4.6-4.7
216,4-5,4.0-4.4,4.2-4.3
217,3-4,3.5-3.9,3.6-3.7
218,3-4,3.5-3.9,3.6-3.7
219,4-5,4.5-4.9,4.4-4.5
220,4-5,4.0-4.4,4.4-4.5
221,3-4,3.5-3.9,3.8-3.9
222,4-5,4.0-4.4,4.2-4.3
223,4-5,4.0-4.4,4.2-4.3
224,4-5,4.5-4.9,4.6-4.7
225,4-5,4.0-4.4,4.0-4.1
226,4-5,4.5-4.9,4.4-4.5
227,4-5,4.0-4.4,4.4-4.5
228,3-4,3.5-3.9,3.6-3.7
229,4-5,4.5-4.9,4.6-4.7
230,4-5,4.5-4.9,4.4-4.5
231,4-5,4.5-4.9,4.4-4.5
232,4-5,4.5-4.9,4.4-4.5
233,4-5,4.0-4.4,4.2-4.3
234,4-5,4.0-4.4,4.2-4.3
235,3-4,3.0-3.4,3.2-3.3
236,4-5,4.0-4.4,4.4-4.5
237,4-5,4.0-4.4,4.4-4.5
238,4-5,4.0-4.4,4.2-4.3
239,4-5,4.0-4.4,4.4-4.5
240,4-5,4.0-4.4,4.4-4.5
241,4-5,4.5-4.9,4.4-4.5
242,3-4,3.5-3.9,3.8-3.9
243,1-2,1.5-1.9,1.6-1.7
244,3-4,3.0-3.4,3.0-3.1
245,4-5,4.0-4.4,4.2-4.3
246,4-5,4.0-4.4,4.2-4.3
247,4-5,4.0-4.4,4.2-4.3
248,3-4,3.5-3.9,3.6-3.7
249,4-5,4.5-4.9,4.4-4.5
250,4-5,4.5-4.9,4.4-4.5
251,3-4,3.5-3.9,3.6-3.7
252,4-5,4.5-4.9,4.4-4.5
253,4-5,4.5-4.9,4.4-4.5
254,4-5,4.5-5.0,4.8-5.0
255,4-5,4.0-4.4,4.2-4.3
256,4-5,4.0-4.4,4.0-4.1
257,4-5,4.0-4.4,4.2-4.3
258,4-5,4.5-5.0,4.8-5.0
259,4-5,4.0-4.4,4.4-4.5
260,4-5,4.5-4.9,4.4-4.5
261,4-5,4.0-4.4,4.4-4.5
262,3-4,3.5-3.9,3.6-3.7
263,4-5,4.0-4.4,4.4-4.5
264,4-5,4.0-4.4,4.2-4.3
265,4-5,4.5-4.9,4.4-4.5
266,4-5,4.0-4.4,4.0-4.1
267,4-5,4.0-4.4,4.2-4.3
268,4-5,4.5-4.9,4.6-4.7
269,4-5,4.0-4.4,4.2-4.3
270,4-5,4.5-4.9,4.6-4.7
271,4-5,4.0-4.4,4.2-4.3
272,4-5,4.0-4.4,4.2-4.3
273,4-5,4.0-4.4,4.2-4.3
274,4-5,4.0-4.4,4.0-4.1
275,4-5,4.5-4.9,4.4-4.5
276,4-5,4.5-4.9,4.4-4.5
277,4-5,4.5-4.9,4.4-4.5
278,4-5,4.5-5.0,4.8-5.0
279,4-5,4.0-4.4,4.4-4.5
280,4-5,4.5-4.9,4.4-4.5
281,4-5,4.5-4.9,4.4-4.5
282,3-4,3.5-3.9,3.6-3.7
283,4-5,4.5-5.0,4.8-5.0
284,4-5,4.0-4.4,4.0-4.1
285,2-3,2.5-2.9,2.6-2.7
286,4-5,4.0-4.4,4.2-4.3
287,4-5,4.0-4.4,4.4-4.5
288,4-5,4.0-4.4,4.2-4.3
289,4-5,4.0-4.4,4.0-4.1
290,3-4,3.5-3.9,3.8-3.9
291,4-5,4.0-4.4,4.2-4.3
292,3-4,3.5-3.9,3.8-3.9
293,3-4,3.5-3.9,3.6-3.7
294,4-5,4.5-4.9,4.4-4.5
295,3-4,3.5-3.9,3.8-3.9
296,4-5,4.5-4.9,4.4-4.5
297,3-4,3.0-3.4,3.2-3.3
298,4-5,4.5-4.9,4.6-4.7
299,4-5,4.0-4.4,4.2-4.3
300,3-4,3.5-3.9,3.8-3.9
301,4-5,4.0-4.4,4.0-4.1
302,4-5,4.0-4.4,4.4-4.5
303,3-4,3.0-3.4,3.2-3.3
304,4-5,4.0-4.4,4.2-4.3
305,4-5,4.5-4.9,4.6-4.7
306,4-5,4.0-4.4,4.4-4.5
307,4-5,4.5-4.9,4.4-4.5
308,3-4,3.5-3.9,3.6-3.7
309,4-5,4.0-4.4,4.2-4.3
310,2-3,2.5-2.9,2.6-2.7
311,4-5,4.5-5.0,4.8-5.0
312,2-3,2.5-2.9,2.8-2.9
313,4-5,4.0-4.4,4.4-4.5
314,4-5,4.0-4.4,4.4-4.5
315,4-5,4.0-4.4,4.0-4.1
316,4-5,4.0-4.4,4.0-4.1
317,4-5,4.5-4.9,4.4-4.5
318,4-5,4.0-4.4,4.0-4.1
319,4-5,4.5-4.9,4.4-4.5
320,4-5,4.5-4.9,4.4-4.5
321,4-5,4.0-4.4,4.2-4.3
322,4-5,4.5-4.9,4.6-4.7
323,4-5,4.5-4.9,4.6-4.7
324,4-5,4.0-4.4,4.2-4.3
325,4-5,4.0-4.4,4.2-4.3
326,3-4,3.5-3.9,3.6-3.7
327,4-5,4.5-4.9,4.4-4.5
328,3-4,3.5-3.9,3.8-3.9
329,3-4,3.5-3.9,3.6-3.7
330,4-5,4.0-4.4,4.2-4.3
331,4-5,4.0-4.4,4.4-4.5
332,3-4,3.5-3.9,3.8-3.9
333,4-5,4.5-5.0,4.8-5.0
334,3-4,3.5-3.9,3.4-3.5
335,3-4,3.5-3.9,3.8-3.9
336,3-4,3.5-3.9,3.6-3.7
337,4-5,4.5-4.9,4.4-4.5
338,3-4,3.5-3.9,3.6-3.7
339,4-5,4.5-4.9,4.4-4.5
340,4-5,4.0-4.4,4.0-4.1
341,3-4,3.5-3.9,3.6-3.7
342,4-5,4.0-4.4,4.2-4.3
343,4-5,4.0-4.4,4.2-4.3
344,4-5,4.5-4.9,4.4-4.5
345,4-5,4.0-4.4,4.4-4.5
346,4-5,4.0-4.4,4.2-4.3
347,4-5,4.0-4.4,4.4-4.5
348,4-5,4.0-4.4,4.2-4.3
349,4-5,4.5-4.9,4.6-4.7
350,4-5,4.5-5.0,4.8-5.0
351,4-5,4.0-4.4,4.2-4.3
352,4-5,4.0-4.4,4.4-4.5
353,4-5,4.5-4.9,4.4-4.5
354,4-5,4.0-4.4,4.2-4.3
355,4-5,4.5-4.9,4.4-4.5
356,4-5,4.5-4.9,4.6-4.7
357,4-5,4.0-4.4,4.2-4.3
358,3-4,3.5-3.9,3.6-3.7
359,3-4,3.5-3.9,3.4-3.5
360,4-5,4.0-4.4,4.0-4.1
361,4-5,4.5-5.0,4.8-5.0
362,4-5,4.5-4.9,4.4-4.5
363,3-4,3.5-3.9,3.6-3.7
364,4-5,4.0-4.4,4.4-4.5
365,4-5,4.0-4.4,4.2-4.3
366,4-5,4.5-4.9,4.4-4.5
367,4-5,4.0-4.4,4.2-4.3
368,2-3,2.0-2.4,2.2-2.3
369,4-5,4.0-4.4,4.0-4.1
370,3-4,3.0-3.4,3.2-3.3
371,4-5,4.5-5.0,4.8-5.0
372,4-5,4.5-4.9,4.4-4.5
373,4-5,4.0-4.4,4.4-4.5
374,2-3,2.5-2.9,2.6-2.7
375,4-5,4.5-4.9,4.4-4.5
376,4-5,4.0-4.4,4.2-4.3
377,4-5,4.5-4.9,4.8-4.9
378,4-5,4.5-4.9,4.4-4.5
379,4-5,4.0-4.4,4.2-4.3
380,3-4,3.5-3.9,3.6-3.7
381,4-5,4.0-4.4,4.2-4.3
382,4-5,4.0-4.4,4.4-4.5
383,3-4,3.5-3.9,3.6-3.7
384,4-5,4.5-4.9,4.4-4.5
385,3-4,3.0-3.4,3.0-3.1
386,4-5,4.0-4.4,4.0-4.1
387,2-3,2.0-2.4,2.0-2.1
388,4-5,4.0-4.4,4.2-4.3
389,4-5,4.0-4.4,4.2-4.3
390,4-5,4.0-4.4,4.4-4.5
391,4-5,4.0-4.4,4.4-4.5
392,4-5,4.0-4.4,4.2-4.3
393,4-5,4.5-4.9,4.4-4.5
394,3-4,3.5-3.9,3.4-3.5
395,4-5,4.5-4.9,4.4-4.5
396,4-5,4.0-4.4,4.0-4.1
397,3-4,3.0-3.4,3.0-3.1
398,4-5,4.5-4.9,4.6-4.7
399,3-4,3.5-3.9,3.4-3.5
400,4-5,4.5-4.9,4.4-4.5
401,3-4,3.5-3.9,3.6-3.7
402,4-5,4.0-4.4,4.2-4.3
403,4-5,4.5-4.9,4.4-4.5
404,4-5,4.0-4.4,4.2-4.3
405,4-5,4.0-4.4,4.2-4.3
406,4-5,4.0-4.4,4.2-4.3
407,4-5,4.0-4.4,4.2-4.3
408,2-3,2.5-2.9,2.4-2.5
409,3-4,3.0-3.4,3.2-3.3
410,4-5,4.5-4.9,4.4-4.5
411,4-5,4.0-4.4,4.0-4.1
412,4-5,4.5-4.9,4.6-4.7
413,4-5,4.0-4.4,4.2-4.3
414,4-5,4.0-4.4,4.2-4.3
415,4-5,4.5-4.9,4.4-4.5
416,3-4,3.5-3.9,3.8-3.9
417,3-4,3.5-3.9,3.6-3.7
418,4-5,4.0-4.4,4.2-4.3
419,4-5,4.0-4.4,4.2-4.3
420,3-4,3.5-3.9,3.4-3.5
421,4-5,4.0-4.4,4.4-4.5
422,4-5,4.5-4.9,4.4-4.5
423,3-4,3.5-3.9,3.8-3.9
424,4-5,4.5-4.9,4.4-4.5
425,4-5,4.0-4.4,4.2-4.3
426,4-5,4.0-4.4,4.0-4.1
427,4-5,4.0-4.4,4.2-4.3
428,4-5,4.0-4.4,4.2-4.3
429,3-4,3.5-3.9,3.4-3.5
430,4-5,4.5-4.9,4.6-4.7
431,4-5,4.0-4.4,4.0-4.1
432,4-5,4.0-4.4,4.2-4.3
433,3-4,3.0-3.4,3.0-3.1
434,3-4,3.5-3.9,3.6-3.7
435,4-5,4.5-4.9,4.4-4.5
436,4-5,4.0-4.4,4.4-4.5
437,4-5,4.5-4.9,4.6-4.7
438,4-5,4.5-4.9,4.6-4.7
439,4-5,4.0-4.4,4.0-4.1
440,3-4,3.5-3.9,3.8-3.9
441,4-5,4.5-4.9,4.4-4.5
442,4-5,4.0-4.4,4.0-4.1
443,3-4,3.5-3.9,3.6-3.7
444,4-5,4.5-4.9,4.4-4.5
445,4-5,4.0-4.4,4.2-4.3
446,4-5,4.0-4.4,4.2-4.3
447,4-5,4.5-4.9,4.4-4.5
448,4-5,4.0-4.4,4.0-4.1
449,4-5,4.5-4.9,4.4-4.5
450,4-5,4.5-4.9,4.4-4.5
451,4-5,4.5-4.9,4.6-4.7
452,4-5,4.0-4.4,4.2-4.3
453,4-5,4.5-4.9,4.6-4.7
454,4-5,4.0-4.4,4.0-4.1
455,4-5,4.5-4.9,4.4-4.5
456,1-2,1.5-1.9,1.6-1.7
457,4-5,4.0-4.4,4.4-4.5
458,2-3,2.5-2.9,2.4-2.5
459,1-2,1.0-1.4,1.0-1.1
460,4-5,4.0-4.4,4.2-4.3
461,4-5,4.0-4.4,4.4-4.5
462,4-5,4.0-4.4,4.0-4.1
463,3-4,3.0-3.4,3.2-3.3
464,4-5,4.5-4.9,4.4-4.5
465,4-5,4.5-4.9,4.4-4.5
466,3-4,3.0-3.4,3.0-3.1
467,3-4,3.5-3.9,3.6-3.7
468,4-5,4.0-4.4,4.2-4.3
469,4-5,4.0-4.4,4.4-4.5
470,4-5,4.0-4.4,4.2-4.3
471,4-5,4.5-4.9,4.4-4.5
472,4-5,4.0-4.4,4.2-4.3
473,4-5,4.5-4.9,4.4-4.5
474,3-4,3.5-3.9,3.6-3.7
475,4-5,4.5-4.9,4.6-4.7
476,4-5,4.5-4.9,4.4-4.5
477,3-4,3.0-3.4,3.0-3.1
478,4-5,4.0-4.4,4.0-4.1
479,4-5,4.0-4.4,4.4-4.5
480,4-5,4.0-4.4,4.0-4.1
481,2-3,2.5-2.9,2.6-2.7
482,2-3,2.5-2.9,2.6-2.7
483,4-5,4.0-4.4,4.2-4.3
484,3-4,3.5-3.9,3.8-3.9
485,4-5,4.0-4.4,4.4-4.5
486,4-5,4.5-4.9,4.4-4.5
487,4-5,4.5-4.9,4.4-4.5
488,4-5,4.0-4.4,4.4-4.5
489,2-3,2.0-2.4,2.2-2.3
490,3-4,3.5-3.9,3.8-3.9
491,4-5,4.5-5.0,4.8-5.0
492,4-5,4.0-4.4,4.0-4.1
493,4-5,4.5-4.9,4.6-4.7
494,4-5,4.0-4.4,4.2-4.3
495,3-4,3.5-3.9,3.6-3.7
496,2-3,2.5-2.9,2.4-2.5
497,4-5,4.0-4.4,4.0-4.1
498,4-5,4.0-4.4,4.0-4.1
499,4-5,4.5-4.9,4.4-4.5
500,4-5,4.0-4.4,4.0-4.1
501,4-5,4.0-4.4,4.0-4.1
502,3-4,3.5-3.9,3.8-3.9
503,4-5,4.5-4.9,4.4-4.5
504,4-5,4.5-4.9,4.6-4.7
505,4-5,4.0-4.4,4.4-4.5
506,3-4,3.5-3.9,3.6-3.7
507,3-4,3.5-3.9,3.8-3.9
508,4-5,4.0-4.4,4.2-4.3
509,3-4,3.5-3.9,3.8-3.9
510,4-5,4.0-4.4,4.2-4.3
511,4-5,4.0-4.4,4.2-4.3
512,4-5,4.0-4.4,4.2-4.3
513,4-5,4.5-4.9,4.6-4.7
514,4-5,4.0-4.4,4.2-4.3
515,4-5,4.0-4.4,4.0-4.1
516,4-5,4.5-5.0,4.8-5.0
517,3-4,3.5-3.9,3.6-3.7
518,4-5,4.0-4.4,4.0-4.1
519,4-5,4.5-4.9,4.6-4.7
520,4-5,4.0-4.4,4.4-4.5
521,4-5,4.0-4.4,4.0-4.1
522,4-5,4.0-4.4,4.2-4.3
523,4-5,4.5-4.9,4.4-4.5
524,3-4,3.5-3.9,3.8-3.9
525,4-5,4.5-4.9,4.4-4.5
526,4-5,4.0-4.4,4.0-4.1
527,3-4,3.0-3.4,3.2-3.3
528,4-5,4.0-4.4,4.0-4.1
529,4-5,4.0-4.4,4.4-4.5
530,3-4,3.5-3.9,3.6-3.7
531,4-5,4.5-4.9,4.6-4.7
532,4-5,4.0-4.4,4.2-4.3
533,4-5,4.0-4.4,4.2-4.3
534,4-5,4.0-4.4,4.2-4.3
535,4-5,4.0-4.4,4.2-4.3
536,4-5,4.0-4.4,4.4-4.5
537,4-5,4.0-4.4,4.2-4.3
538,4-5,4.0-4.4,4.2-4.3
539,3-4,3.5-3.9,3.4-3.5
540,4-5,4.5-4.9,4.4-4.5
541,4-5,4.5-4.9,4.4-4.5
542,4-5,4.0-4.4,4.2-4.3
543,4-5,4.5-4.9,4.4-4.5
544,3-4,3.5-3.9,3.6-3.7
545,1-2,1.0-1.4,1.0-1.1
546,4-5,4.5-4.9,4.4-4.5
547,4-5,4.5-5.0,4.8-5.0
548,4-5,4.0-4.4,4.2-4.3
549,3-4,3.0-3.4,3.0-3.1
550,4-5,4.5-4.9,4.4-4.5
551,4-5,4.0-4.4,4.2-4.3
552,4-5,4.5-4.9,4.4-4.5
553,4-5,4.0-4.4,4.2-4.3
554,3-4,3.5-3.9,3.8-3.9
555,4-5,4.5-4.9,4.4-4.5
556,3-4,3.5-3.9,3.4-3.5
557,3-4,3.0-3.4,3.0-3.1
558,4-5,4.0-4.4,4.0-4.1
559,4-5,4.5-4.9,4.4-4.5
560,4-5,4.0-4.4,4.4-4.5
561,4-5,4.5-4.9,4.4-4.5
562,4-5,4.5-4.9,4.6-4.7
563,4-5,4.0-4.4,4.2-4.3
564,4-5,4.0-4.4,4.4-4.5
565,4-5,4.0-4.4,4.2-4.3
566,4-5,4.5-4.9,4.6-4.7
567,4-5,4.5-4.9,4.4-4.5
568,4-5,4.0-4.4,4.0-4.1
569,4-5,4.0-4.4,4.2-4.3
570,4-5,4.5-4.9,4.4-4.5
571,4-5,4.0-4.4,4.2-4.3
572,4-5,4.5-5.0,4.8-5.0
573,4-5,4.0-4.4,4.4-4.5
574,4-5,4.0-4.4,4.0-4.1
575,4-5,4.0-4.4,4.4-4.5
576,4-5,4.5-4.9,4.4-4.5
577,3-4,3.5-3.9,3.6-3.7
578,4-5,4.5-4.9,4.4-4.5
579,4-5,4.0-4.4,4.2-4.3
580,4-5,4.5-4.9,4.4-4.5
581,4-5,4.5-4.9,4.4-4.5
582,4-5,4.5-4.9,4.4-4.5
583,2-3,2.5-2.9,2.6-2.7
584,4-5,4.0-4.4,4.2-4.3
585,4-5,4.0-4.4,4.0-4.1
586,4-5,4.0-4.4,4.0-4.1
587,4-5,4.0-4.4,4.2-4.3
588,4-5,4.5-4.9,4.6-4.7
589,4-5,4.5-4.9,4.6-4.7
590,4-5,4.0-4.4,4.0-4.1
591,4-5,4.0-4.4,4.2-4.3
592,4-5,4.0-4.4,4.0-4.1
593,3-4,3.5-3.9,3.8-3.9
594,4-5,4.0-4.4,4.0-4.1
595,4-5,4.0-4.4,4.2-4.3
596,4-5,4.0-4.4,4.2-4.3
597,3-4,3.0-3.4,3.0-3.1
598,4-5,4.5-4.9,4.4-4.5
599,4-5,4.0-4.4,4.0-4.1
600,4-5,4.0-4.4,4.0-4.1
601,4-5,4.0-4.4,4.4-4.5
602,4-5,4.5-5.0,4.8-5.0
603,4-5,4.5-4.9,4.6-4.7
604,4-5,4.0-4.4,4.0-4.1
605,4-5,4.5-5.0,4.8-5.0
606,1-2,1.5-1.9,1.8-1.9
607,4-5,4.0-4.4,4.4-4.5
608,4-5,4.5-4.9,4.4-4.5
609,4-5,4.5-4.9,4.4-4.5
610,3-4,3.5-3.9,3.4-3.5
611,4-5,4.5-4.9,4.4-4.5
612,4-5,4.5-4.9,4.4-4.5
613,4-5,4.5-4.9,4.4-4.5
614,4-5,4.5-4.9,4.4-4.5
615,4-5,4.5-4.9,4.4-4.5
616,4-5,4.0-4.4,4.2-4.3
617,4-5,4.0-4.4,4.0-4.1
618,4-5,4.0-4.4,4.0-4.1
619,4-5,4.5-4.9,4.4-4.5
620,4-5,4.5-4.9,4.4-4.5
621,4-5,4.5-4.9,4.4-4.5
622,4-5,4.5-4.9,4.4-4.5
623,4-5,4.5-5.0,4.8-5.0
624,2-3,2.5-2.9,2.6-2.7
625,4-5,4.0-4.4,4.0-4.1
626,4-5,4.0-4.4,4.2-4.3
627,4-5,4.0-4.4,4.4-4.5
628,4-5,4.5-5.0,4.8-5.0
629,4-5,4.0-4.4,4.4-4.5
630,4-5,4.5-4.9,4.4-4.5
631,4-5,4.5-4.9,4.4-4.5
632,4-5,4.0-4.4,4.2-4.3
633,4-5,4.5-4.9,4.4-4.5
634,4-5,4.0-4.4,4.0-4.1
