,1,0.5,0.2
140,4-5,4.0-4.4,4.4-4.5
141,3-4,3.5-3.9,3.8-3.9
142,4-5,4.0-4.4,4.2-4.3
143,4-5,4.0-4.4,4.0-4.1
144,3-4,3.0-3.4,3.2-3.3
145,4-5,4.5-4.9,4.4-4.5
146,4-5,4.0-4.4,4.4-4.5
147,4-5,4.0-4.4,4.4-4.5
148,3-4,3.0-3.4,3.2-3.3
149,4-5,4.0-4.4,4.2-4.3
150,3-4,3.0-3.4,3.2-3.3
151,4-5,4.0-4.4,4.2-4.3
152,4-5,4.0-4.4,4.2-4.3
153,4-5,4.5-4.9,4.4-4.5
154,4-5,4.5-4.9,4.4-4.5
155,4-5,4.5-4.9,4.4-4.5
156,4-5,4.0-4.4,4.2-4.3
157,4-5,4.0-4.4,4.2-4.3
158,3-4,3.5-3.9,3.6-3.7
159,3-4,3.5-3.9,3.6-3.7
160,4-5,4.0-4.4,4.2-4.3
161,4-5,4.0-4.4,4.0-4.1
162,4-5,4.0-4.4,4.2-4.3
163,4-5,4.5-4.9,4.6-4.7
164,4-5,4.5-4.9,4.4-4.5
165,4-5,4.5-5.0,4.8-5.0
166,4-5,4.5-4.9,4.6-4.7
167,4-5,4.0-4.4,4.4-4.5
168,3-4,3.0-3.4,3.0-3.1
169,4-5,4.5-4.9,4.6-4.7
170,4-5,4.0-4.4,4.2-4.3
171,4-5,4.0-4.4,4.4-4.5
172,4-5,4.5-4.9,4.6-4.7
173,4-5,4.5-4.9,4.6-4.7
174,4-5,4.0-4.4,4.2-4.3
175,3-4,3.0-3.4,3.2-3.3
176,4-5,4.0-4.4,4.2-4.3
177,4-5,4.0-4.4,4.0-4.1
178,4-5,4.0-4.4,4.4-4.5
179,4-5,4.5-4.9,4.4-4.5
180,4-5,4.0-4.4,4.0-4.1
181,4-5,4.0-4.4,4.4-4.5
182,2-3,2.0-2.4,2.2-2.3
183,4-5,4.5-4.9,4.6-4.7
184,4-5,4.0-4.4,4.0-4.1
185,4-5,4.0-4.4,4.0-4.1
186,4-5,4.0-4.4,4.0-4.1
187,4-5,4.5-4.9,4.6-4.7
188,4-5,4.5-4.9,4.4-4.5
189,4-5,4.5-4.9,4.4-4.5
190,4-5,4.0-4.4,4.2-4.3
191,3-4,3.5-3.9,3.8-3.9
192,4-5,4.0-4.4,4.2-4.3
193,4-5,4.0-4.4,4.0-4.1
194,4-5,4.5-4.9,4.4-4.5
195,4-5,4.5-4.9,4.4-4.5
196,4-5,4.0-4.4,4.2-4.3
197,4-5,4.0-4.4,4.2-4.3
198,4-5,4.0-4.4,4.2-4.3
199,4-5,4.0-4.4,4.4-4.5
200,4-5,4.0-4.4,4.2-4.3
201,1-2,1.5-1.9,1.6-1.7
202,4-5,4.5-4.9,4.6-4.7
203,4-5,4.0-4.4,4.2-4.3
204,4-5,4.0-4.4,4.2-4.3
205,4-5,4.0-4.4,4.0-4.1
206,4-5,4.0-4.4,4.2-4.3
207,4-5,4.0-4.4,4.2-4.3
208,1-2,1.0-1.4,1.0-1.1
209,4-5,4.5-4.9,4.4-4.5
210,4-5,4.5-4.9,4.4-4.5
211,4-5,4.0-4.4,4.0-4.1
212,3-4,3.0-3.4,3.0-3.1
213,4-5,4.0-4.4,4.2-4.3
214,4-5,4.0-4.4,4.2-4.3
215,4-5,4.0-4.4,4.2-4.3
216,4-5,4.0-4.4,4.0-4.1
217,4-5,4.5-4.9,4.4-4.5
218,4-5,4.0-4.4,4.4-4.5
219,4-5,4.5-4.9,4.4-4.5
220,4-5,4.5-4.9,4.8-4.9
221,4-5,4.5-4.9,4.4-4.5
222,4-5,4.0-4.4,4.2-4.3
223,4-5,4.0-4.4,4.2-4.3
224,4-5,4.0-4.4,4.2-4.3
225,4-5,4.5-4.9,4.4-4.5
226,3-4,3.5-3.9,3.6-3.7
227,4-5,4.0-4.4,4.4-4.5
228,4-5,4.5-4.9,4.4-4.5
229,4-5,4.0-4.4,4.0-4.1
230,4-5,4.0-4.4,4.0-4.1
231,3-4,3.5-3.9,3.6-3.7
232,4-5,4.5-4.9,4.4-4.5
233,3-4,3.5-3.9,3.6-3.7
234,4-5,4.0-4.4,4.2-4.3
235,4-5,4.0-4.4,4.0-4.1
236,3-4,3.5-3.9,3.6-3.7
237,4-5,4.0-4.4,4.4-4.5
238,3-4,3.5-3.9,3.6-3.7
239,4-5,4.0-4.4,4.4-4.5
240,4-5,4.5-4.9,4.4-4.5
241,4-5,4.0-4.4,4.4-4.5
242,3-4,3.5-3.9,3.6-3.7
243,4-5,4.5-4.9,4.4-4.5
244,3-4,3.0-3.4,3.2-3.3
245,4-5,4.0-4.4,4.2-4.3
246,4-5,4.0-4.4,4.0-4.1
247,3-4,3.0-3.4,3.0-3.1
248,4-5,4.0-4.4,4.2-4.3
249,4-5,4.5-5.0,4.8-5.0
250,4-5,4.5-4.9,4.4-4.5
251,4-5,4.0-4.4,4.4-4.5
252,4-5,4.0-4.4,4.0-4.1
253,4-5,4.0-4.4,4.2-4.3
254,4-5,4.0-4.4,4.2-4.3
255,4-5,4.5-4.9,4.4-4.5
256,4-5,4.5-4.9,4.4-4.5
257,2-3,2.5-2.9,2.6-2.7
258,4-5,4.0-4.4,4.2-4.3
259,4-5,4.0-4.4,4.2-4.3
260,3-4,3.0-3.4,3.2-3.3
261,4-5,4.5-4.9,4.4-4.5
262,4-5,4.0-4.4,4.4-4.5
263,4-5,4.5-4.9,4.4-4.5
264,3-4,3.5-3.9,3.6-3.7
265,4-5,4.0-4.4,4.0-4.1
266,3-4,3.0-3.4,3.2-3.3
267,4-5,4.5-5.0,4.8-5.0
268,4-5,4.5-4.9,4.6-4.7
269,4-5,4.0-4.4,4.0-4.1
270,4-5,4.0-4.4,4.0-4.1
271,4-5,4.5-4.9,4.6-4.7
272,4-5,4.5-4.9,4.4-4.5
273,4-5,4.0-4.4,4.0-4.1
274,4-5,4.5-4.9,4.4-4.5
275,4-5,4.0-4.4,4.2-4.3
276,4-5,4.0-4.4,4.2-4.3
277,4-5,4.0-4.4,4.0-4.1
278,4-5,4.0-4.4,4.4-4.5
279,4-5,4.5-4.9,4.4-4.5
280,3-4,3.5-3.9,3.8-3.9
281,4-5,4.0-4.4,4.2-4.3
282,4-5,4.0-4.4,4.2-4.3
283,3-4,3.0-3.4,3.0-3.1
284,4-5,4.0-4.4,4.4-4.5
285,4-5,4.0-4.4,4.2-4.3
286,4-5,4.0-4.4,4.0-4.1
287,4-5,4.5-4.9,4.6-4.7
288,4-5,4.5-4.9,4.6-4.7
289,3-4,3.5-3.9,3.6-3.7
290,4-5,4.0-4.4,4.2-4.3
291,4-5,4.0-4.4,4.2-4.3
292,4-5,4.0-4.4,4.4-4.5
293,4-5,4.5-4.9,4.4-4.5
294,4-5,4.0-4.4,4.0-4.1
295,4-5,4.0-4.4,4.4-4.5
296,4-5,4.0-4.4,4.4-4.5
297,4-5,4.5-4.9,4.4-4.5
298,4-5,4.5-4.9,4.4-4.5
299,4-5,4.5-4.9,4.4-4.5
300,4-5,4.0-4.4,4.0-4.1
301,2-3,2.5-2.9,2.6-2.7
302,4-5,4.5-4.9,4.6-4.7
303,4-5,4.5-4.9,4.4-4.5
304,4-5,4.0-4.4,4.0-4.1
305,3-4,3.0-3.4,3.2-3.3
306,4-5,4.5-5.0,4.8-5.0
307,4-5,4.0-4.4,4.2-4.3
308,4-5,4.5-4.9,4.4-4.5
309,4-5,4.5-4.9,4.4-4.5
310,4-5,4.0-4.4,4.2-4.3
311,4-5,4.0-4.4,4.2-4.3
312,4-5,4.0-4.4,4.2-4.3
313,4-5,4.5-4.9,4.4-4.5
314,4-5,4.0-4.4,4.4-4.5
315,3-4,3.5-3.9,3.4-3.5
316,4-5,4.0-4.4,4.4-4.5
317,3-4,3.5-3.9,3.6-3.7
318,3-4,3.5-3.9,3.6-3.7
319,4-5,4.0-4.4,4.4-4.5
320,3-4,3.0-3.4,3.2-3.3
321,4-5,4.5-4.9,4.6-4.7
322,4-5,4.0-4.4,4.4-4.5
323,4-5,4.0-4.4,4.2-4.3
324,4-5,4.0-4.4,4.0-4.1
325,4-5,4.0-4.4,4.2-4.3
326,4-5,4.0-4.4,4.4-4.5
327,3-4,3.0-3.4,3.2-3.3
328,4-5,4.5-4.9,4.4-4.5
329,4-5,4.5-4.9,4.6-4.7
330,4-5,4.5-4.9,4.4-4.5
331,3-4,3.5-3.9,3.6-3.7
332,4-5,4.5-4.9,4.4-4.5
333,4-5,4.0-4.4,4.4-4.5
334,4-5,4.0-4.4,4.4-4.5
335,3-4,3.5-3.9,3.6-3.7
336,4-5,4.5-4.9,4.4-4.5
337,4-5,4.0-4.4,4.4-4.5
338,4-5,4.0-4.4,4.2-4.3
339,4-5,4.5-4.9,4.4-4.5
340,4-5,4.0-4.4,4.2-4.3
341,4-5,4.0-4.4,4.0-4.1
342,3-4,3.5-3.9,3.6-3.7
343,4-5,4.0-4.4,4.2-4.3
344,3-4,3.0-3.4,3.2-3.3
345,4-5,4.5-4.9,4.4-4.5
346,4-5,4.0-4.4,4.4-4.5
347,4-5,4.5-4.9,4.4-4.5
348,4-5,4.5-4.9,4.4-4.5
349,4-5,4.5-4.9,4.4-4.5
350,4-5,4.0-4.4,4.0-4.1
351,4-5,4.5-4.9,4.4-4.5
352,4-5,4.0-4.4,4.0-4.1
353,3-4,3.0-3.4,3.2-3.3
354,4-5,4.5-5.0,4.8-5.0
355,4-5,4.0-4.4,4.0-4.1
356,4-5,4.0-4.4,4.2-4.3
357,3-4,3.0-3.4,3.0-3.1
358,4-5,4.5-4.9,4.4-4.5
359,4-5,4.5-4.9,4.6-4.7
360,4-5,4.0-4.4,4.2-4.3
361,4-5,4.5-4.9,4.4-4.5
362,4-5,4.5-4.9,4.4-4.5
363,4-5,4.0-4.4,4.0-4.1
364,4-5,4.5-4.9,4.6-4.7
365,3-4,3.0-3.4,3.0-3.1
366,4-5,4.0-4.4,4.2-4.3
367,4-5,4.5-4.9,4.8-4.9
368,3-4,3.0-3.4,3.2-3.3
369,4-5,4.5-4.9,4.4-4.5
370,4-5,4.5-4.9,4.4-4.5
371,3-4,3.5-3.9,3.4-3.5
372,4-5,4.0-4.4,4.2-4.3
373,4-5,4.5-5.0,4.8-5.0
374,4-5,4.5-4.9,4.4-4.5
375,4-5,4.5-4.9,4.4-4.5
376,4-5,4.5-4.9,4.4-4.5
377,3-4,3.5-3.9,3.4-3.5
378,3-4,3.5-3.9,3.8-3.9
379,4-5,4.5-4.9,4.4-4.5
380,4-5,4.0-4.4,4.2-4.3
381,4-5,4.5-4.9,4.4-4.5
382,4-5,4.0-4.4,4.2-4.3
383,3-4,3.0-3.4,3.0-3.1
384,4-5,4.0-4.4,4.4-4.5
385,4-5,4.0-4.4,4.0-4.1
386,3-4,3.0-3.4,3.2-3.3
387,4-5,4.0-4.4,4.2-4.3
388,4-5,4.0-4.4,4.0-4.1
389,4-5,4.0-4.4,4.4-4.5
390,4-5,4.5-4.9,4.4-4.5
391,4-5,4.5-4.9,4.8-4.9
392,4-5,4.0-4.4,4.0-4.1
393,4-5,4.0-4.4,4.4-4.5
394,3-4,3.0-3.4,3.2-3.3
395,4-5,4.0-4.4,4.0-4.1
396,4-5,4.5-4.9,4.4-4.5
397,4-5,4.0-4.4,4.2-4.3
398,4-5,4.0-4.4,4.0-4.1
399,4-5,4.5-4.9,4.4-4.5
400,4-5,4.5-4.9,4.4-4.5
401,4-5,4.0-4.4,4.0-4.1
402,4-5,4.5-4.9,4.4-4.5
403,4-5,4.0-4.4,4.2-4.3
404,4-5,4.0-4.4,4.2-4.3
405,4-5,4.0-4.4,4.2-4.3
406,4-5,4.0-4.4,4.2-4.3
407,4-5,4.0-4.4,4.2-4.3
408,4-5,4.0-4.4,4.0-4.1
409,4-5,4.5-4.9,4.4-4.5
410,4-5,4.0-4.4,4.0-4.1
411,4-5,4.0-4.4,4.4-4.5
412,4-5,4.0-4.4,4.4-4.5
413,4-5,4.5-4.9,4.4-4.5
414,3-4,3.5-3.9,3.8-3.9
415,4-5,4.0-4.4,4.4-4.5
416,3-4,3.5-3.9,3.6-3.7
417,4-5,4.0-4.4,4.2-4.3
418,4-5,4.0-4.4,4.0-4.1
419,3-4,3.0-3.4,3.2-3.3
420,4-5,4.5-4.9,4.4-4.5
421,4-5,4.0-4.4,4.2-4.3
422,2-3,2.5-2.9,2.6-2.7
423,4-5,4.0-4.4,4.4-4.5
424,4-5,4.0-4.4,4.2-4.3
425,4-5,4.0-4.4,4.2-4.3
426,4-5,4.0-4.4,4.4-4.5
427,3-4,3.0-3.4,3.2-3.3
428,4-5,4.5-4.9,4.6-4.7
429,4-5,4.0-4.4,4.2-4.3
430,4-5,4.5-4.9,4.4-4.5
431,3-4,3.5-3.9,3.6-3.7
432,4-5,4.5-4.9,4.4-4.5
433,4-5,4.0-4.4,4.0-4.1
434,4-5,4.5-4.9,4.4-4.5
435,4-5,4.0-4.4,4.0-4.1
436,4-5,4.0-4.4,4.4-4.5
437,4-5,4.0-4.4,4.2-4.3
438,4-5,4.5-4.9,4.4-4.5
439,2-3,2.5-2.9,2.6-2.7
440,4-5,4.0-4.4,4.2-4.3
441,4-5,4.0-4.4,4.2-4.3
442,4-5,4.5-5.0,4.8-5.0
443,4-5,4.0-4.4,4.4-4.5
444,4-5,4.0-4.4,4.2-4.3
445,4-5,4.5-4.9,4.4-4.5
446,4-5,4.0-4.4,4.0-4.1
447,4-5,4.0-4.4,4.0-4.1
448,4-5,4.0-4.4,4.2-4.3
449,3-4,3.5-3.9,3.8-3.9
450,4-5,4.0-4.4,4.2-4.3
451,4-5,4.0-4.4,4.2-4.3
452,4-5,4.0-4.4,4.4-4.5
453,4-5,4.5-4.9,4.4-4.5
454,4-5,4.0-4.4,4.2-4.3
455,4-5,4.0-4.4,4.2-4.3
456,4-5,4.5-4.9,4.4-4.5
457,4-5,4.0-4.4,4.2-4.3
458,4-5,4.5-4.9,4.4-4.5
459,2-3,2.0-2.4,2.2-2.3
460,4-5,4.5-4.9,4.4-4.5
461,4-5,4.0-4.4,4.4-4.5
462,3-4,3.0-3.4,3.2-3.3
463,4-5,4.0-4.4,4.4-4.5
464,4-5,4.0-4.4,4.4-4.5
465,4-5,4.0-4.4,4.2-4.3
466,4-5,4.0-4.4,4.4-4.5
467,4-5,4.5-5.0,4.8-5.0
468,3-4,3.0-3.4,3.0-3.1
469,4-5,4.5-4.9,4.4-4.5
470,4-5,4.0-4.4,4.2-4.3
471,4-5,4.5-4.9,4.4-4.5
472,3-4,3.5-3.9,3.8-3.9
473,3-4,3.5-3.9,3.6-3.7
474,4-5,4.0-4.4,4.2-4.3
475,4-5,4.5-5.0,4.8-5.0
476,4-5,4.5-4.9,4.6-4.7
477,4-5,4.0-4.4,4.0-4.1
478,4-5,4.0-4.4,4.2-4.3
479,3-4,3.5-3.9,3.6-3.7
480,4-5,4.5-4.9,4.6-4.7
481,4-5,4.5-4.9,4.4-4.5
482,3-4,3.5-3.9,3.6-3.7
483,4-5,4.0-4.4,4.2-4.3
484,4-5,4.5-4.9,4.6-4.7
485,4-5,4.5-4.9,4.6-4.7
486,3-4,3.0-3.4,3.2-3.3
487,4-5,4.0-4.4,4.0-4.1
488,4-5,4.5-4.9,4.4-4.5
489,4-5,4.5-4.9,4.4-4.5
490,4-5,4.0-4.4,4.0-4.1
491,4-5,4.5-4.9,4.8-4.9
492,4-5,4.5-4.9,4.6-4.7
493,3-4,3.5-3.9,3.6-3.7
494,4-5,4.5-4.9,4.4-4.5
495,4-5,4.5-4.9,4.4-4.5
496,3-4,3.0-3.4,3.0-3.1
497,4-5,4.0-4.4,4.2-4.3
498,4-5,4.0-4.4,4.4-4.5
499,3-4,3.5-3.9,3.6-3.7
500,3-4,3.0-3.4,3.2-3.3
501,4-5,4.5-4.9,4.4-4.5
502,4-5,4.0-4.4,4.4-4.5
503,4-5,4.0-4.4,4.2-4.3
504,4-5,4.5-4.9,4.4-4.5
505,4-5,4.0-4.4,4.2-4.3
506,4-5,4.5-4.9,4.4-4.5
507,4-5,4.0-4.4,4.0-4.1
508,4-5,4.5-4.9,4.4-4.5
509,4-5,4.0-4.4,4.4-4.5
510,4-5,4.0-4.4,4.0-4.1
511,4-5,4.5-4.9,4.4-4.5
512,3-4,3.5-3.9,3.6-3.7
513,4-5,4.5-4.9,4.6-4.7
514,4-5,4.0-4.4,4.2-4.3
515,4-5,4.5-4.9,4.4-4.5
516,3-4,3.5-3.9,3.6-3.7
517,4-5,4.0-4.4,4.2-4.3
518,4-5,4.5-4.9,4.4-4.5
519,4-5,4.0-4.4,4.4-4.5
520,4-5,4.0-4.4,4.4-4.5
521,4-5,4.0-4.4,4.4-4.5
522,4-5,4.0-4.4,4.0-4.1
523,4-5,4.5-5.0,4.8-5.0
524,4-5,4.0-4.4,4.2-4.3
525,4-5,4.0-4.4,4.2-4.3
526,4-5,4.5-4.9,4.4-4.5
527,3-4,3.0-3.4,3.2-3.3
528,4-5,4.5-4.9,4.4-4.5
529,4-5,4.5-4.9,4.4-4.5
530,4-5,4.0-4.4,4.4-4.5
531,4-5,4.5-4.9,4.4-4.5
532,4-5,4.5-4.9,4.4-4.5
533,3-4,3.5-3.9,3.6-3.7
534,4-5,4.5-4.9,4.6-4.7
535,4-5,4.0-4.4,4.2-4.3
536,4-5,4.0-4.4,4.2-4.3
537,4-5,4.5-4.9,4.6-4.7
538,4-5,4.5-4.9,4.4-4.5
539,2-3,2.5-2.9,2.6-2.7
540,3-4,3.0-3.4,3.2-3.3
541,4-5,4.0-4.4,4.0-4.1
542,4-5,4.0-4.4,4.0-4.1
543,4-5,4.0-4.4,4.4-4.5
544,3-4,3.5-3.9,3.4-3.5
545,4-5,4.0-4.4,4.2-4.3
546,4-5,4.5-4.9,4.4-4.5
547,4-5,4.0-4.4,4.0-4.1
548,4-5,4.0-4.4,4.0-4.1
549,4-5,4.0-4.4,4.4-4.5
550,4-5,4.5-4.9,4.4-4.5
551,4-5,4.0-4.4,4.2-4.3
552,4-5,4.0-4.4,4.0-4.1
553,4-5,4.5-4.9,4.6-4.7
554,4-5,4.0-4.4,4.2-4.3
555,4-5,4.5-4.9,4.4-4.5
556,4-5,4.5-4.9,4.6-4.7
557,4-5,4.0-4.4,4.4-4.5
558,4-5,4.5-4.9,4.6-4.7
559,4-5,4.5-4.9,4.6-4.7
560,3-4,3.5-3.9,3.8-3.9
561,4-5,4.5-4.9,4.4-4.5
562,4-5,4.0-4.4,4.2-4.3
563,3-4,3.5-3.9,3.4-3.5
564,4-5,4.5-4.9,4.6-4.7
565,4-5,4.0-4.4,4.2-4.3
566,3-4,3.5-3.9,3.8-3.9
567,4-5,4.0-4.4,4.2-4.3
568,4-5,4.0-4.4,4.2-4.3
569,4-5,4.5-4.9,4.4-4.5
570,4-5,4.5-4.9,4.4-4.5
571,4-5,4.5-4.9,4.4-4.5
572,4-5,4.0-4.4,4.4-4.5
573,4-5,4.0-4.4,4.2-4.3
574,4-5,4.0-4.4,4.2-4.3
575,4-5,4.0-4.4,4.4-4.5
576,3-4,3.5-3.9,3.6-3.7
577,4-5,4.0-4.4,4.2-4.3
578,4-5,4.5-4.9,4.4-4.5
579,4-5,4.0-4.4,4.4-4.5
580,4-5,4.5-4.9,4.6-4.7
581,4-5,4.0-4.4,4.4-4.5
582,4-5,4.5-4.9,4.4-4.5
583,4-5,4.0-4.4,4.4-4.5
584,3-4,3.0-3.4,3.2-3.3
585,4-5,4.0-4.4,4.4-4.5
586,4-5,4.5-4.9,4.4-4.5
587,4-5,4.0-4.4,4.2-4.3
588,4-5,4.5-4.9,4.4-4.5
589,4-5,4.5-4.9,4.6-4.7
590,3-4,3.0-3.4,3.2-3.3
591,3-4,3.5-3.9,3.4-3.5
592,3-4,3.5-3.9,3.8-3.9
593,4-5,4.0-4.4,4.0-4.1
594,2-3,2.5-2.9,2.8-2.9
595,4-5,4.0-4.4,4.2-4.3
596,4-5,4.0-4.4,4.2-4.3
597,4-5,4.0-4.4,4.0-4.1
598,4-5,4.0-4.4,4.4-4.5
599,4-5,4.5-4.9,4.4-4.5
600,4-5,4.0-4.4,4.2-4.3
601,4-5,4.0-4.4,4.0-4.1
602,4-5,4.5-4.9,4.6-4.7
603,4-5,4.0-4.4,4.0-4.1
604,4-5,4.0-4.4,4.0-4.1
605,4-5,4.0-4.4,4.2-4.3
606,4-5,4.5-4.9,4.4-4.5
607,4-5,4.5-4.9,4.4-4.5
608,4-5,4.5-4.9,4.4-4.5
609,3-4,3.5-3.9,3.8-3.9
610,4-5,4.5-4.9,4.6-4.7
611,4-5,4.5-4.9,4.4-4.5
612,4-5,4.0-4.4,4.2-4.3
613,4-5,4.0-4.4,4.0-4.1
614,3-4,3.5-3.9,3.6-3.7
615,4-5,4.5-4.9,4.6-4.7
616,4-5,4.0-4.4,4.0-4.1
617,4-5,4.0-4.4,4.0-4.1
618,4-5,4.0-4.4,4.4-4.5
619,4-5,4.0-4.4,4.2-4.3
620,4-5,4.0-4.4,4.2-4.3
621,4-5,4.0-4.4,4.0-4.1
622,3-4,3.5-3.9,3.6-3.7
623,4-5,4.5-4.9,4.4-4.5
624,3-4,3.0-3.4,3.2-3.3
625,4-5,4.5-5.0,4.8-5.0
626,4-5,4.5-4.9,4.4-4.5
627,4-5,4.0-4.4,4.4-4.5
628,4-5,4.0-4.4,4.0-4.1
629,3-4,3.5-3.9,3.8-3.9
630,4-5,4.5-5.0,4.8-5.0
631,4-5,4.0-4.4,4.0-4.1
632,4-5,4.0-4.4,4.4-4.5
633,4-5,4.0-4.4,4.0-4.1
634,3-4,3.5-3.9,3.8-3.9
